address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zipcode,zpid
Address: 3861 20th Street, San FranciscoSales price: 1657000Sales date: 02/27/2013Bedrooms: 3Square feet: 1385Lot size: 2850,3861 20th St,3,3,1385,2/27/2013,1657000,37.7579,-122.427132,Eureka Valley - Dolores Heights - Castro,7,SingleFamily,1910,2078438,94114,15145509
Address: 807 Visitacion Avenue, San FranciscoSales price: 515000Sales date: 02/26/2013Bedrooms: 3Square feet: 1847Lot size: 2526,807 Visitacion Ave,3,3,1847,2/26/2013,515000,37.711125,-122.40749,Visitacion Valley,7,SingleFamily,1965,885350,94134,15175394
Address: 251 Oak Street, San FranciscoSales price: 635500Sales date: 02/26/2013Bedrooms: 6Square feet: 2970Lot size: 1540,251-255 Oak St,1,2,800,2/26/2013,635500,37.774721,-122.423427,Hayes Valley,12,MultiFamily2To4,1912,1375473,94102,15078716
Address: 109 Germania Street, San FranciscoSales price: 690000Sales date: 02/26/2013Bedrooms: 0Square feet: 825Lot size: 1300,109 Germania St,1,2,772,2/26/2013,690000,37.770525,-122.430666,Hayes Valley,4,SingleFamily,1900,1068807,94117,15079301
Address: 430 Capistrano Avenue, San FranciscoSales price: 711500Sales date: 02/26/2013Bedrooms: 0Square feet: 1200Lot size: 3136,430 Capistrano Ave,1,2,1200,2/17/2016,1050000,37.725204,-122.439273,Mission Terrace,5,SingleFamily,1924,1028346,94112,15141129
Address: 356 Roosevelt Way, San FranciscoSales price: 750000Sales date: 02/26/2013Bedrooms: 2Square feet: 805Lot size: 1797,356 Roosevelt Way,1,2,805,2/26/2013,750000,37.765485,-122.442416,Buena Vista Park,4,Condominium,1975,965660,94114,79847732
Address: 3333 21st Street, San FranciscoSales price: 1000000Sales date: 02/26/2013Bedrooms: 3Square feet: 1574Lot size: 3049,3333 21st St,2,2,1574,2/26/2013,1000000,37.756608,-122.421919,Mission,6,Condominium,1900,1160325,94110,15145983
Address: 225 Dolores Street #A, San FranciscoSales price: 1285000Sales date: 02/26/2013Bedrooms: 3Square feet: 1324Lot size: 25700,225 Dolores St # A,1,3,2100,2/26/2013,1285000,37.765834,-122.425864,Mission,6,SingleFamily,1907,1797761,94103,15143405
Address: 2254 Leavenworth Street, San FranciscoSales price: 3050000Sales date: 02/26/2013Bedrooms: 0Square feet: 2470Lot size: 2086,2254 Leavenworth St,4.5,4,2470,2/26/2013,3050000,37.802003,-122.4177,Russian Hill,10,SingleFamily,1912,3643923,94133,15064680
Address: 1112 Lombard Street, San FranciscoSales price: 3700000Sales date: 02/26/2013Bedrooms: 3Square feet: 2348Lot size: 9230,1112 Lombard St,5,5,3676,2/26/2013,3700000,37.802248,-122.420137,Russian Hill,7,SingleFamily,1940,6344498,94109,15064577
Address: 842 Madrid Street, San FranciscoSales price: 104000Sales date: 02/25/2013Bedrooms: 4Square feet: 2020Lot size: 2495,842 Madrid St,3,4,2020,2/25/2013,104000,37.716563,-122.436971,Excelsior,8,SingleFamily,1929,872891,94112,15176547
Address: 37 Farallones Street, San FranciscoSales price: 418000Sales date: 02/25/2013Bedrooms: 0Square feet: 864Lot size: 6250,37 Farallones St,1,2,864,2/25/2013,418000,37.713838,-122.453616,Oceanview,5,SingleFamily,1906,728570,94112,15194590
Address: 1381 Goettingen Street, San FranciscoSales price: 525000Sales date: 02/25/2013Bedrooms: 0Square feet: 949Lot size: 1873,1381 Goettingen St,1,2,950,2/25/2013,525000,37.715157,-122.401474,Visitacion Valley,5,SingleFamily,1952,581045,94134,15173240
Address: 400 Avalon Avenue, San FranciscoSales price: 557000Sales date: 02/25/2013Bedrooms: 0Square feet: 1317Lot size: 1873,400 Avalon Ave,1,3,1317,2/25/2013,557000,37.726053,-122.429255,Excelsior,6,SingleFamily,1957,825646,94112,15169332
Address: 522 8th Avenue, San FranciscoSales price: 780000Sales date: 02/25/2013Bedrooms: 3Square feet: 1570Lot size: 2996,522 8th Ave,1,3,1570,2/25/2013,780000,37.77853,-122.465924,Inner Richmond,5,SingleFamily,1904,1661189,94118,15094796
Address: 115 Santa Ana Avenue, San FranciscoSales price: 1900000Sales date: 02/25/2013Bedrooms: 4Square feet: 2924Lot size: 4046,115 Santa Ana Ave,4,4,2924,3/22/2016,2600000,37.734485,-122.467697,St. Francis Wood,8,SingleFamily,1954,2796830,94127,15138907
Address: 66 Cleary Court #1105, San FranciscoSales price: 162500Sales date: 02/22/2013Bedrooms: 3Square feet: 1210Lot size: 1207,66 Cleary Ct APT 1105,2,3,1210,2/22/2013,162500,37.784298,-122.427058,Western Addition,5,Condominium,1963,973934,94109,15076946
Address: 8300 Oceanview Terrace #409, San FranciscoSales price: 320500Sales date: 02/22/2013Bedrooms: 1Square feet: 686Lot size: 325629,8300 Oceanview Ter APT 409,1,1,686,2/22/2013,320500,37.71048,-122.467645,Ingleside Heights,3,Condominium,2002,526314,94132,63175134
Address: 298 Portola Drive #101, San FranciscoSales price: 349000Sales date: 02/22/2013Bedrooms: 1Square feet: 877Lot size: 2178,298 Portola Dr APT 101,1,1,877,2/22/2013,349000,37.747483,-122.44453,Twin Peaks,4,Condominium,1996,829133,94131,15132619
Address: 727 Dartmouth Street, San FranciscoSales price: 560000Sales date: 02/22/2013Bedrooms: 0Square feet: 837Lot size: 3000,727 Dartmouth St,1,2,837,2/22/2013,560000,37.721679,-122.409552,Portola,4,SingleFamily,1953,770737,94134,15172021
Address: 300 Naglee Avenue, San FranciscoSales price: 575000Sales date: 02/22/2013Bedrooms: 3Square feet: 1214Lot size: 1733,300 Naglee Ave,1,2,1214,2/22/2013,575000,37.71446,-122.449349,Outer Mission,5,SingleFamily,1945,780961,94112,15192719
Address: 38 Chicago Way, San FranciscoSales price: 585000Sales date: 02/22/2013Bedrooms: 3Square feet: 1660Lot size: 2495,38 Chicago Way,2,5,1860,2/22/2013,585000,37.710651,-122.428881,Crocker Amazon,8,SingleFamily,1950,915072,94112,15177506
Address: 782 Great Highway #1, San FranciscoSales price: 705000Sales date: 02/22/2013Bedrooms: 3Square feet: 1491Lot size: 3049,782 Great Hwy # 1,2,3,1491,2/22/2013,705000,37.773649,-122.510692,Outer Richmond,6,Condominium,1991,1031946,94121,15096493
Address: 177 Townsend Street #325, San FranciscoSales price: 745000Sales date: 02/22/2013Bedrooms: 2Square feet: 905Lot size: 42969,177 Townsend St UNIT 325,2,2,905,2/22/2013,745000,37.77898,-122.391769,South Beach,4,Condominium,2007,1158161,94107,82786239
Address: 1870 Jackson Street #501, San FranciscoSales price: 750000Sales date: 02/22/2013Bedrooms: 1Square feet: 1270Lot size: 3049,1870 Jackson St APT 501,2,1,1270,2/22/2013,750000,37.79386,-122.425865,Pacific Heights,5,Condominium,1931,1366414,94109,15073617
Address: 120 Landers Street #B, San FranciscoSales price: 770000Sales date: 02/22/2013Bedrooms: 2Square feet: 1174Lot size: 7405,120 Landers St APT B,1.5,2,1174,2/22/2013,770000,37.765989,-122.427811,Mission,5,Condominium,1983,1306580,94114,15143452
Address: 631 Folsom Street #8C, San FranciscoSales price: 849000Sales date: 02/22/2013Bedrooms: 2Square feet: 1054Lot size: 38089,631 Folsom St APT 8C,2,2,1054,2/22/2013,849000,37.784713,-122.396873,Yerba Buena,5,Condominium,2009,1440560,94107,89240318
Address: 1907 Leavenworth Street #10, San FranciscoSales price: 910000Sales date: 02/22/2013Bedrooms: 1Square feet: 992Lot size: 3485,1907 Leavenworth St APT 10,1,2,992,2/22/2013,910000,37.798645,-122.4175,Russian Hill,4,Condominium,1907,1029196,94133,15066087
Address: 55 Forest View Drive, San FranciscoSales price: 940000Sales date: 02/22/2013Bedrooms: 0Square feet: 1518Lot size: 2500,55 Forest View Dr,2,2,1518,2/22/2013,940000,37.7332,-122.483963,Lakeshore,6,SingleFamily,1940,1417956,94132,15197367
Address: 766 Harrison Street #610, San FranciscoSales price: 320000Sales date: 02/21/2013Bedrooms: 0Square feet: 292Lot size: 6880,766 Harrison St UNIT 610,1,0,292,2/21/2013,320000,37.78165,-122.399116,Yerba Buena,2,Condominium,2008,740071,94107,111924246
Address: 731 47th Avenue #2, San FranciscoSales price: 625000Sales date: 02/21/2013Bedrooms: 0Square feet: 1125Lot size: 3572,731 47th Ave APT 2,1,2,1125,2/21/2013,625000,37.774562,-122.5083,Outer Richmond,4,Condominium,1929,858305,94121,79846843
Address: 116 Chicago Way, San FranciscoSales price: 635000Sales date: 02/21/2013Bedrooms: 0Square feet: 1275Lot size: 2495,116 Chicago Way,1.5,3,1275,2/21/2013,635000,37.711139,-122.430328,Crocker Amazon,6,SingleFamily,1951,836095,94112,15177469
Address: 188 Minna Street #26B, San FranciscoSales price: 710000Sales date: 02/21/2013Bedrooms: 2Square feet: 1772Lot size: 33056,188 Minna St APT 26B,2.5,2,1772,2/21/2013,710000,37.786289,-122.401375,Yerba Buena,5,Condominium,2005,3672052,94105,80741720
Address: 744 Moultrie Street, San FranciscoSales price: 790000Sales date: 02/21/2013Bedrooms: 2Square feet: 1375Lot size: 1750,744 Moultrie St,2,2,1375,2/21/2013,790000,37.7354,-122.41632,Bernal Heights,7,Condominium,1929,1091825,94110,15164220
Address: 350 Broderick Street #320, San FranciscoSales price: 888000Sales date: 02/21/2013Bedrooms: 2Square feet: 1424Lot size: 49213,350 Broderick St APT 320,3,2,1424,2/21/2013,888000,37.773441,-122.438758,North Panhandle,5,Condominium,2007,1611181,94117,79842682
Address: 1559 Church Street, San FranciscoSales price: 900000Sales date: 02/21/2013Bedrooms: 0Square feet: 1466Lot size: 2495,1559 Church St,2,3,1466,3/18/2015,1780000,37.745853,-122.426558,Noe Valley,7,MultiFamily2To4,1915,1823991,94131,15182634
Address: 1741 Waller Street, San FranciscoSales price: 1075000Sales date: 02/21/2013Bedrooms: 3Square feet: 1444Lot size: 3436,1741 Waller St,1.5,3,1444,2/21/2013,1075000,37.76808,-122.45233,Haight-Ashbury,7,Condominium,1902,1374608,94117,63196939
Address: 135 14th Avenue, San FranciscoSales price: 1112000Sales date: 02/21/2013Bedrooms: 3Square feet: 2045Lot size: 3184,135 14th Ave,3.5,5,2045,7/23/2014,3018000,37.785578,-122.473551,Lake,9,SingleFamily,1911,3509347,94118,15089966
Address: 48 Lower Terrace, San FranciscoSales price: 1325000Sales date: 02/21/2013Bedrooms: 2Square feet: 1893Lot size: 2562,48 Lower Ter,2.5,3,1893,2/21/2013,1325000,37.763204,-122.44128,Corona Heights,5,SingleFamily,1991,2437983,94114,15127656
Address: 1870 Jackson Street #203, San FranciscoSales price: 1495000Sales date: 02/21/2013Bedrooms: 3Square feet: 1800Lot size: 1860,1870 Jackson St APT 203,3,3,1800,2/21/2013,1495000,37.79386,-122.425865,Pacific Heights,6,Condominium,1931,2124500,94109,15073607
Address: 38 Divisadero Street, San FranciscoSales price: 1549000Sales date: 02/21/2013Bedrooms: 3Square feet: 1860Lot size: 2511,38 Divisadero St,2,3,1972,2/21/2013,1549000,37.767857,-122.436286,Buena Vista Park,8,Condominium,1907,2288054,94117,64971495
Address: 1160 Mission Street #2313, San FranciscoSales price: 1680000Sales date: 02/21/2013Bedrooms: 3Square feet: 1613Lot size: 43557,1160 Mission St UNIT 2313,2,3,1613,2/21/2013,1680000,37.778705,-122.412635,South of Market,5,Condominium,2008,1667512,94103,83154410
Address: 1216 York Street, San FranciscoSales price: 660000Sales date: 02/20/2013Bedrooms: 0Square feet: 720Lot size: 2596,1216 York St,1,1,800,2/20/2013,660000,37.752289,-122.408414,Mission,6,SingleFamily,1900,1141749,94110,15152429
Address: 984 Ashbury Street, San FranciscoSales price: 977000Sales date: 02/20/2013Bedrooms: 2Square feet: 1342Lot size: 2456,984 Ashbury St,2,2,1350,2/20/2013,977000,37.764403,-122.445638,Parnassus - Ashbury,5,Condominium,1915,1564203,94117,15127212
Address: 1650 42nd Avenue, San FranciscoSales price: 1100000Sales date: 02/20/2013Bedrooms: 2Square feet: 1150Lot size: 2996,1650 42nd Ave,2,4,2300,2/20/2013,1100000,37.755934,-122.500983,Outer Sunset,10,SingleFamily,1941,1315656,94122,15108424
Address: 19 Prospect Avenue, San FranciscoSales price: 1250000Sales date: 02/20/2013Bedrooms: 3Square feet: 1800Lot size: 1750,19 Prospect Ave,2.5,3,1800,2/20/2013,1250000,37.744991,-122.417464,Bernal Heights,8,SingleFamily,1905,1656812,94110,15161053
Address: 126 Belvedere Street, San FranciscoSales price: 1355000Sales date: 02/20/2013Bedrooms: 3Square feet: 1866Lot size: 5227,126 Belvedere St,2,3,1866,2/20/2013,1355000,37.76822,-122.449035,Haight-Ashbury,7,Condominium,1907,1747113,94117,15087106
Address: 375 Valdez Avenue, San FranciscoSales price: 1705000Sales date: 02/20/2013Bedrooms: 4Square feet: 2393Lot size: 3933,375 Valdez Ave,3,5,3106,2/20/2013,1705000,37.733371,-122.45722,Westwood Highlands,16,SingleFamily,1926,1978101,94127,15137556
Address: 255 Berry Street #608, San FranciscoSales price: 2000000Sales date: 02/20/2013Bedrooms: 3Square feet: 2293Lot size: 42959,255 Berry St APT 608,3,3,2293,2/20/2013,2000000,37.774185,-122.394749,South of Market,9,Condominium,2004,2810369,94158,64971782
Address: 367 Hamilton Street, San FranciscoSales price: 220000Sales date: 02/19/2013Bedrooms: 2Square feet: 960Lot size: 3000,367 Hamilton St # 367A,2,2,960,2/19/2013,220000,37.726533,-122.409385,Portola,6,Duplex,1908,802038,94134,15168781
Address: 23 Blair Terrace, San FranciscoSales price: 500000Sales date: 02/19/2013Bedrooms: 3Square feet: 1109Lot size: 2614,23 Blair Ter,2,3,1109,2/19/2013,500000,37.751136,-122.399047,Potrero Hill,5,Condominium,1984,774044,94107,15152786
Address: 149 Teresita Boulevard, San FranciscoSales price: 759000Sales date: 02/19/2013Bedrooms: 0Square feet: 1293Lot size: 2334,149 Teresita Blvd,1,2,1293,2/19/2013,759000,37.743244,-122.450858,Miraloma Park,6,SingleFamily,1946,1149621,94127,15133483
Address: 88 King Street #109, San FranciscoSales price: 920000Sales date: 02/19/2013Bedrooms: 2Square feet: 1305Lot size: 88427,88 King St APT 109,2,2,1557,2/19/2013,920000,37.78063,-122.389635,South Beach,4,Condominium,2000,1461513,94107,54854637
Address: 2742 Bush Street #B, San FranciscoSales price: 373000Sales date: 02/15/2013Bedrooms: 1Square feet: 922Lot size: 3438,2742 Bush St # B,1,1,886,2/15/2013,373000,37.786149,-122.442539,Lower Pacific Heights,4,Condominium,1890,917870,94115,89237733
Address: 219 Ramsell Street, San FranciscoSales price: 435000Sales date: 02/15/2013Bedrooms: 0Square feet: 1000Lot size: 2495,219 Ramsell St,1,3,1000,5/30/2013,483000,37.714697,-122.466479,Ingleside Heights,4,SingleFamily,1940,713886,94132,15193615
Address: 68 Cielito Drive, San FranciscoSales price: 460000Sales date: 02/15/2013Bedrooms: 0Square feet: 975Lot size: 1999,68 Cielito Dr,1,3,975,2/15/2013,460000,37.709553,-122.422207,Visitacion Valley,8,SingleFamily,1944,607917,94134,15175917
Address: 855 La Playa Street #160, San FranciscoSales price: 510000Sales date: 02/15/2013Bedrooms: 2Square feet: 1178Lot size: 8712,855 La Playa St APT 160,2,2,1178,8/18/2014,300000,37.772199,-122.510375,Outer Richmond,4,Condominium,1982,762650,94121,15100737
Address: 101 Lombard Street #16, San FranciscoSales price: 575000Sales date: 02/15/2013Bedrooms: 1Square feet: 789Lot size: 113256,101 Lombard St APT 16,1,1,789,2/15/2013,575000,37.80347,-122.40409,Telegraph Hill,4,Condominium,1983,805576,94111,15064879
Address: 2546 33rd Avenue, San FranciscoSales price: 750000Sales date: 02/15/2013Bedrooms: 2Square feet: 1580Lot size: 2996,2546 33rd Ave,2,2,1580,6/19/2014,1750000,37.739638,-122.490169,Parkside,8,SingleFamily,1931,896990,94116,15123789
Address: 55 Ulloa Street, San FranciscoSales price: 779000Sales date: 02/15/2013Bedrooms: 0Square feet: 1525Lot size: 2705,55 Ulloa St,1,2,1525,11/13/2013,1150000,37.744615,-122.454296,Forest Hill Extension,6,SingleFamily,1939,1578535,94127,15133636
Address: 125 Brompton Avenue, San FranciscoSales price: 825000Sales date: 02/15/2013Bedrooms: 3Square feet: 1103Lot size: 2495,125 Brompton Ave,2,3,1103,2/15/2013,825000,37.733244,-122.434877,Glen Park,6,SingleFamily,1910,1158736,94131,15185622
Address: 1356 11th Avenue, San FranciscoSales price: 875000Sales date: 02/15/2013Bedrooms: 0Square feet: 1307Lot size: 3000,1356 11th Ave,1.5,2,1307,2/15/2013,875000,37.762922,-122.468051,Inner Sunset,6,Condominium,1926,1193420,94122,82785706
Address: 2200 Pacific Avenue #11E, San FranciscoSales price: 895000Sales date: 02/15/2013Bedrooms: 1Square feet: 1041Lot size: 3920,2200 Pacific Ave APT 11E,1,1,1041,2/15/2013,895000,37.793994,-122.43182,Pacific Heights,4,Condominium,1962,983424,94115,15073267
Address: 5 Wawona Street, San FranciscoSales price: 900000Sales date: 02/15/2013Bedrooms: 0Square feet: 1675Lot size: 4486,5 Wawona St,2,2,1675,2/15/2013,900000,37.743313,-122.46557,West Portal,7,SingleFamily,1925,1666468,94127,15133813
Address: 683 41st Avenue, San FranciscoSales price: 901000Sales date: 02/15/2013Bedrooms: 3Square feet: 1875Lot size: 2683,683 41st Ave,1,3,1347,2/15/2013,901000,37.775852,-122.501928,Outer Richmond,6,SingleFamily,1955,1405177,94121,15096170
Address: 101 Lunado Way, San FranciscoSales price: 940000Sales date: 02/15/2013Bedrooms: 4Square feet: 3040Lot size: 6237,101 Lunado Way,3,4,3040,2/15/2013,940000,37.723882,-122.471596,Ingleside Terrace,7,SingleFamily,1925,1831600,94127,15187133
